movie_id,genres,movie_id,averagerating,numvotes,ordering
tt0364201,Action,tt0364201,6.4,16,1
tt6848590,"Action,Adult,Comedy",tt6848590,3.4,28,1
tt1136688,"Action,Adventure",tt1136688,3.3,1428,1
tt0448694,"Action,Adventure,Animation",tt0448694,6.6,133355,1
tt1390411,"Action,Adventure,Biography",tt1390411,6.9,108628,1
tt0448115,"Action,Adventure,Comedy",tt0448115,7.4,109051,1
tt0480255,"Action,Adventure,Crime",tt0480255,6.4,83876,1
tt1523320,"Action,Adventure,Documentary",tt1523320,8.3,47,1
tt0485985,"Action,Adventure,Drama",tt0485985,5.9,31815,1
tt0938283,"Action,Adventure,Family",tt0938283,4.1,137734,1
tt0451279,"Action,Adventure,Fantasy",tt0451279,7.5,487527,1
tt1220217,"Action,Adventure,History",tt1220217,4.5,654,1
tt0496375,"Action,Adventure,Horror",tt0496375,3.7,1106,1
tt2191853,"Action,Adventure,Music",tt2191853,4.1,176,1
tt7957456,"Action,Adventure,Musical",tt7957456,8.7,42,1
tt1328873,"Action,Adventure,Mystery",tt1328873,4.6,33,1
tt1321869,"Action,Adventure,Romance",tt1321869,4.6,2867,1
tt0369610,"Action,Adventure,Sci-Fi",tt0369610,7.0,539338,1
tt6210456,"Action,Adventure,Sport",tt6210456,7.6,31,1
tt0429493,"Action,Adventure,Thriller",tt0429493,6.8,235256,1
tt1814644,"Action,Adventure,War",tt1814644,5.5,188,1
tt1210819,"Action,Adventure,Western",tt1210819,6.4,208827,1
tt1527821,"Action,Animation",tt1527821,6.1,160,1
tt3993370,"Action,Animation,Biography",tt3993370,5.8,20,1
tt0249516,"Action,Animation,Comedy",tt0249516,1.9,8248,1
tt1651332,"Action,Animation,Crime",tt1651332,5.1,27,1
tt2959680,"Action,Animation,Documentary",tt2959680,7.0,32,1
tt0860907,"Action,Animation,Drama",tt0860907,7.0,8215,1
tt1690470,"Action,Animation,Family",tt1690470,6.2,1314,1
tt1071809,"Action,Animation,Fantasy",tt1071809,3.6,220,1
tt2449630,"Action,Animation,History",tt2449630,7.5,11,1
tt1512222,"Action,Animation,Horror",tt1512222,4.1,321,1
tt3709868,"Action,Animation,Music",tt3709868,4.8,11,1
tt1645129,"Action,Animation,Sci-Fi",tt1645129,4.6,290,1
tt3971764,"Action,Animation,Sport",tt3971764,7.5,132,1
tt3177704,"Action,Biography",tt3177704,6.5,15,1
tt1522276,"Action,Biography,Comedy",tt1522276,7.8,79,1
tt0835775,"Action,Biography,Crime",tt0835775,4.6,701,1
tt1536420,"Action,Biography,Documentary",tt1536420,7.1,9,1
tt10011102,"Action,Biography,Drama",tt10011102,8.0,55,1
tt1865374,"Action,Biography,History",tt1865374,1.3,33,1
tt3296908,"Action,Biography,Thriller",tt3296908,6.4,10993,1
tt1059887,"Action,Comedy",tt1059887,4.2,2704,1
tt0423474,"Action,Comedy,Crime",tt0423474,4.2,468,1
tt1116184,"Action,Comedy,Documentary",tt1116184,7.0,53289,1
tt1251743,"Action,Comedy,Drama",tt1251743,5.3,4220,1
tt1273678,"Action,Comedy,Family",tt1273678,5.5,36767,1
tt0446029,"Action,Comedy,Fantasy",tt0446029,7.5,339338,1
tt1941478,"Action,Comedy,History",tt1941478,7.1,1606,1
tt1183489,"Action,Comedy,Horror",tt1183489,3.2,458,1
tt1885250,"Action,Comedy,Music",tt1885250,6.3,6,1
tt1801113,"Action,Comedy,Musical",tt1801113,4.0,154,1
tt1774508,"Action,Comedy,Mystery",tt1774508,7.7,14,1
tt1038919,"Action,Comedy,Romance",tt1038919,5.6,112444,1
tt1034314,"Action,Comedy,Sci-Fi",tt1034314,5.9,87609,1
tt1648179,"Action,Comedy,Sport",tt1648179,6.4,81761,1
tt1352388,"Action,Comedy,Thriller",tt1352388,3.9,5236,1
tt3408808,"Action,Comedy,War",tt3408808,2.8,5,1
tt1533117,"Action,Comedy,Western",tt1533117,7.4,8234,1
tt10017680,"Action,Crime",tt10017680,6.0,180,1
tt2015367,"Action,Crime,Documentary",tt2015367,7.7,261,1
tt0063540,"Action,Crime,Drama",tt0063540,7.0,77,1
tt1578882,"Action,Crime,Fantasy",tt1578882,5.1,10123,1
tt2229201,"Action,Crime,History",tt2229201,4.1,166,1
tt0873886,"Action,Crime,Horror",tt0873886,6.2,59266,1
tt1792122,"Action,Crime,Music",tt1792122,7.9,53,1
tt2006036,"Action,Crime,Musical",tt2006036,4.4,5,1
tt1079360,"Action,Crime,Mystery",tt1079360,4.9,1929,1
tt1582560,"Action,Crime,Romance",tt1582560,5.4,356,1
tt1053424,"Action,Crime,Sci-Fi",tt1053424,6.3,96144,1
tt2058673,"Action,Crime,Sport",tt2058673,5.3,53802,1
tt0455944,"Action,Crime,Thriller",tt0455944,7.2,302302,1
tt5196148,"Action,Crime,Western",tt5196148,6.8,12,1
tt1582399,"Action,Documentary",tt1582399,5.5,16,1
tt1608217,"Action,Documentary,Drama",tt1608217,8.2,93,1
tt1574541,"Action,Documentary,Family",tt1574541,6.6,14,1
tt1564048,"Action,Documentary,History",tt1564048,8.4,13,1
tt4643328,"Action,Documentary,Horror",tt4643328,6.4,5,1
tt3230012,"Action,Documentary,News",tt3230012,6.7,27,1
tt1550623,"Action,Documentary,Sport",tt1550623,9.2,8,1
tt3302498,"Action,Documentary,Thriller",tt3302498,7.6,57,1
tt1576476,"Action,Documentary,War",tt1576476,8.1,16,1
tt0276568,"Action,Drama",tt0276568,7.4,5,1
tt0433035,"Action,Drama,Family",tt0433035,7.1,283534,1
tt0805617,"Action,Drama,Fantasy",tt0805617,6.6,108,1
tt1242521,"Action,Drama,History",tt1242521,7.0,2396,1
tt0775440,"Action,Drama,Horror",tt0775440,4.3,21968,1
tt1325717,"Action,Drama,Music",tt1325717,6.4,95,1
tt3091982,"Action,Drama,Musical",tt3091982,5.6,76,1
tt1262415,"Action,Drama,Mystery",tt1262415,6.2,687,1
tt1832420,"Action,Drama,News",tt1832420,4.6,8,1
tt1198101,"Action,Drama,Romance",tt1198101,6.1,11353,1
tt0945513,"Action,Drama,Sci-Fi",tt0945513,7.5,452036,1
tt0849437,"Action,Drama,Sport",tt0849437,6.0,35,1
tt0882977,"Action,Drama,Thriller",tt0882977,6.5,78142,1
tt1270114,"Action,Drama,War",tt1270114,5.3,2028,1
tt1158939,"Action,Drama,Western",tt1158939,5.7,1034,1
tt1691453,"Action,Family",tt1691453,5.0,2266,1
tt1041804,"Action,Family,Fantasy",tt1041804,4.3,3119,1
tt1886449,"Action,Family,Mystery",tt1886449,5.5,182,1
tt2271427,"Action,Family,Romance",tt2271427,7.1,14,1
tt1629766,"Action,Family,Sci-Fi",tt1629766,4.2,247,1
tt6737944,"Action,Family,Thriller",tt6737944,7.7,94,1
tt2741626,"Action,Family,Western",tt2741626,6.9,17,1
tt1554970,"Action,Fantasy",tt1554970,5.7,128,1
tt1773733,"Action,Fantasy,History",tt1773733,7.5,48,1
tt1038686,"Action,Fantasy,Horror",tt1038686,5.2,92709,1
tt1688225,"Action,Fantasy,Mystery",tt1688225,6.8,73,1
tt1857913,"Action,Fantasy,Romance",tt1857913,5.9,7691,1
tt1329350,"Action,Fantasy,Sci-Fi",tt1329350,4.4,50,1
tt1071875,"Action,Fantasy,Thriller",tt1071875,4.3,103608,1
tt1253863,"Action,Fantasy,War",tt1253863,6.2,262978,1
tt1032751,"Action,Fantasy,Western",tt1032751,6.3,24271,1
tt1606761,"Action,History",tt1606761,7.3,576,1
tt1730189,"Action,History,Horror",tt1730189,4.5,74,1
tt2305114,"Action,History,Romance",tt2305114,6.4,131,1
tt1442571,"Action,History,Thriller",tt1442571,6.4,7100,1
tt2993698,"Action,History,War",tt2993698,7.2,1212,1
tt1433183,"Action,Horror",tt1433183,3.8,118,1
tt1139592,"Action,Horror,Mystery",tt1139592,4.1,14586,1
tt2649126,"Action,Horror,Romance",tt2649126,7.2,14,1
tt0923653,"Action,Horror,Sci-Fi",tt0923653,3.0,791,1
tt2338708,"Action,Horror,Sport",tt2338708,4.3,141,1
tt0829176,"Action,Horror,Thriller",tt0829176,3.6,6793,1
tt1885235,"Action,Horror,Western",tt1885235,3.4,75,1
tt2100613,"Action,Music",tt2100613,5.0,86,1
tt1817683,"Action,Musical",tt1817683,5.2,9,1
tt1966497,"Action,Musical,Romance",tt1966497,7.9,13,1
tt3093106,"Action,Musical,Sci-Fi",tt3093106,7.3,14,1
tt2658660,"Action,Musical,Thriller",tt2658660,6.6,12,1
tt1651321,"Action,Mystery",tt1651321,2.2,27,1
tt5785200,"Action,Mystery,Romance",tt5785200,2.8,600,1
tt0969653,"Action,Mystery,Sci-Fi",tt0969653,3.8,586,1
tt0944835,"Action,Mystery,Thriller",tt0944835,6.4,277204,1
tt3803110,"Action,Mystery,Western",tt3803110,4.9,25,1
tt1781948,"Action,Romance",tt1781948,7.6,779,1
tt1237836,"Action,Romance,Sci-Fi",tt1237836,6.8,5,1
tt1941684,"Action,Romance,Sport",tt1941684,4.8,314,1
tt1681370,"Action,Romance,Thriller",tt1681370,5.3,195,1
tt1974319,"Action,Romance,War",tt1974319,7.8,95,1
tt3094390,"Action,Romance,Western",tt3094390,5.5,13,1
tt1134669,"Action,Sci-Fi",tt1134669,5.1,24,1
tt0409847,"Action,Sci-Fi,Thriller",tt0409847,6.0,195889,1
tt2265116,"Action,Sci-Fi,War",tt2265116,2.1,305,1
tt1548021,"Action,Sci-Fi,Western",tt1548021,6.8,17,1
tt1740661,"Action,Sport",tt1740661,4.4,233,1
tt2431478,"Action,Sport,Thriller",tt2431478,8.1,19,1
tt2477866,"Action,Sport,War",tt2477866,5.0,19,1
tt0403935,"Action,Thriller",tt0403935,3.3,2862,1
tt1370312,"Action,Thriller,War",tt1370312,4.5,216,1
tt1754484,"Action,Thriller,Western",tt1754484,8.1,16,1
tt1378811,"Action,War",tt1378811,2.4,246,1
tt1753916,"Action,Western",tt1753916,7.1,12,1
tt3718824,"Adult,Horror",tt3718824,2.0,128,1
tt0400320,Adventure,tt0400320,7.9,18,1
tt1183352,"Adventure,Animation",tt1183352,6.7,415,1
tt1686865,"Adventure,Animation,Biography",tt1686865,6.3,304,1
tt0137204,"Adventure,Animation,Comedy",tt0137204,8.1,263,1
tt1729572,"Adventure,Animation,Documentary",tt1729572,6.6,28,1
tt1181840,"Adventure,Animation,Drama",tt1181840,7.0,5494,1
tt0811021,"Adventure,Animation,Family",tt0811021,4.0,165,1
tt10068158,"Adventure,Animation,Fantasy",tt10068158,6.8,22,1
tt1934331,"Adventure,Animation,History",tt1934331,6.1,10,1
tt5234428,"Adventure,Animation,Horror",tt5234428,7.8,737,1
tt2179678,"Adventure,Animation,Musical",tt2179678,3.3,31,1
tt0312305,"Adventure,Animation,Sci-Fi",tt0312305,5.1,287,1
tt1206331,"Adventure,Biography",tt1206331,5.7,46,1
tt1178665,"Adventure,Biography,Comedy",tt1178665,6.3,22033,1
tt2082507,"Adventure,Biography,Crime",tt2082507,8.9,41,1
tt1307990,"Adventure,Biography,Documentary",tt1307990,8.7,11,1
tt1212428,"Adventure,Biography,Drama",tt1212428,6.6,66475,1
tt3685570,"Adventure,Biography,Family",tt3685570,6.1,18,1
tt1735308,"Adventure,Biography,History",tt1735308,6.1,23,1
tt0484828,"Adventure,Comedy",tt0484828,3.0,186,1
tt1152286,"Adventure,Comedy,Crime",tt1152286,8.0,18,1
tt1645773,"Adventure,Comedy,Documentary",tt1645773,8.8,24,1
tt0359950,"Adventure,Comedy,Drama",tt0359950,7.3,275300,1
tt0493949,"Adventure,Comedy,Family",tt0493949,6.6,16086,1
tt0790628,"Adventure,Comedy,Fantasy",tt0790628,5.9,67549,1
tt1763270,"Adventure,Comedy,History",tt1763270,4.7,149,1
tt1273207,"Adventure,Comedy,Horror",tt1273207,5.4,4957,1
tt1226229,"Adventure,Comedy,Music",tt1226229,6.4,161653,1
tt2090626,"Adventure,Comedy,Musical",tt2090626,8.3,6,1
tt1601468,"Adventure,Comedy,Mystery",tt1601468,5.4,9,1
tt0329539,"Adventure,Comedy,Romance",tt0329539,6.1,73,1
tt0765485,"Adventure,Comedy,Sci-Fi",tt0765485,5.2,54,1
tt1600846,"Adventure,Comedy,Thriller",tt1600846,8.3,9,1
tt3989912,"Adventure,Comedy,War",tt3989912,6.0,738,1
