title,domestic_gross,foreign_gross
Toy Story 3,415000000.0,652000000.0
Alice in Wonderland (2010),334200000.0,691300000.0
Harry Potter and the Deathly Hallows Part 1,296000000.0,664300000.0
Inception,292600000.0,535700000.0
Shrek Forever After,238700000.0,513900000.0
The Twilight Saga: Eclipse,300500000.0,398000000.0
Iron Man 2,312400000.0,311500000.0
Tangled,200800000.0,391000000.0
Despicable Me,251500000.0,291600000.0
How to Train Your Dragon,217600000.0,277300000.0
Clash of the Titans (2010),163200000.0,330000000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,104400000.0,311300000.0
The King's Speech,135500000.0,275400000.0
Tron Legacy,172100000.0,228000000.0
The Karate Kid,176600000.0,182500000.0
Prince of Persia: The Sands of Time,90800000.0,245600000.0
Black Swan,107000000.0,222400000.0
Megamind,148400000.0,173500000.0
Robin Hood,105300000.0,216400000.0
The Last Airbender,131800000.0,187900000.0
Little Fockers,148400000.0,162200000.0
Resident Evil: Afterlife,60100000.0,240100000.0
Shutter Island,128000000.0,166800000.0
Salt,118300000.0,175200000.0
Sex and the City 2,95300000.0,193000000.0
The Tourist,67600000.0,210700000.0
The Expendables,103100000.0,171400000.0
Grown Ups,162000000.0,109400000.0
Knight & Day,76400000.0,185500000.0
True Grit,171200000.0,81000000.0
Gulliver's Travels,42800000.0,194600000.0
Percy Jackson & The Olympians: The Lightning Thief,88800000.0,137700000.0
The Social Network,97000000.0,128000000.0
Valentine's Day,110500000.0,106000000.0
The Sorcerer's Apprentice,63200000.0,152100000.0
Due Date,100500000.0,111200000.0
Eat Pray Love,80600000.0,124000000.0
Yogi Bear,100200000.0,101300000.0
Red,90400000.0,108600000.0
Paranormal Activity 2,84800000.0,92800000.0
The A-Team,77200000.0,100000000.0
Jackass 3-D,117200000.0,54500000.0
The Other Guys,119200000.0,51200000.0
Unstoppable,81600000.0,86200000.0
Step Up 3-D,42400000.0,116900000.0
The Book of Eli,94800000.0,62300000.0
The Town,92200000.0,61800000.0
Date Night,98700000.0,53600000.0
Legend of the Guardians: The Owls of Ga'Hoole,55700000.0,84400000.0
The Wolfman,62000000.0,77800000.0
The Bounty Hunter,67099999.0,69300000.0
Saw 3D,45700000.0,90400000.0
Wall Street: Money Never Sleeps,52500000.0,82300000.0
The Fighter,93600000.0,35600000.0
Predators,52000000.0,75200000.0
